,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
303,Maine,2021,Jan-Mar,2900,2900,300,10,60,80,3
304,Maryland,2021,Jan-Mar,7000,7000,1200,17,590,240,3
305,Massachusetts,2021,Jan-Mar,5000,5000,1000,20,30,90,2
306,Michigan,2021,Jan-Mar,78000,78000,1500,2,320,4100,5
308,Minnesota,2021,Jan-Mar,41000,68000,3200,5,2900,140,(Z)
309,Mississippi,2021,Jan-Mar,33000,36000,5500,15,14500,3800,11
310,Missouri,2021,Jan-Mar,5500,5500,1500,27,780,40,1
311,Montana,2021,Jan-Mar,40000,51000,310,1,-,20,(Z)
312,Nebraska,2021,Jan-Mar,11000,17500,640,4,1300,-,-
313,New Jersey,2021,Jan-Mar,14000,14000,360,3,610,80,1
314,New Mexico,2021,Jan-Mar,3500,3500,230,7,2200,-,-
315,New York,2021,Jan-Mar,30000,30000,4900,16,3400,380,1
316,North Carolina,2021,Jan-Mar,18000,21000,2100,10,2700,110,1
317,North Dakota,2021,Jan-Mar,51000,65000,180,(Z),2700,-,-
319,Ohio,2021,Jan-Mar,17500,17500,4000,23,120,20,(Z)
320,Oklahoma,2021,Jan-Mar,28000,28000,2600,9,4100,360,1
321,Oregon,2021,Jan-Mar,76000,79000,3100,4,2600,610,1
322,Pennsylvania,2021,Jan-Mar,20000,21000,5500,26,4100,40,(Z)
323,South Carolina,2021,Jan-Mar,15500,18500,1200,6,930,190,1
324,South Dakota,2021,Jan-Mar,28000,34000,450,1,-,-,-
325,Tennessee,2021,Jan-Mar,12000,13000,2200,17,960,310,2
326,Texas,2021,Jan-Mar,240000,345000,23000,7,56000,13000,4
327,Utah,2021,Jan-Mar,17500,18500,2500,14,4000,-,-
328,Vermont,2021,Jan-Mar,7500,7500,1300,17,670,70,1
330,Virginia,2021,Jan-Mar,7000,7000,1400,20,2300,50,1
331,Washington,2021,Jan-Mar,48000,67000,6000,9,5500,850,1
332,West Virginia,2021,Jan-Mar,7000,7500,1200,16,1700,720,10
333,Wisconsin,2021,Jan-Mar,25000,37000,2500,7,7000,170,(Z)
334,Wyoming,2021,Jan-Mar,13000,14500,1700,12,500,1200,8
336,Other States 5/,2021,Jan-Mar,6640,6640,540,8,600,70,1
338,United States,2021,Jan-Mar,2923240,(X),372630,13,308530,156270,5
352,State,2021,Apr-Jun,April 1,,,,,,
357,Alabama,2021,Apr-Jun,9500,9500,2700,28,2800,930,10
358,Arizona,2021,Apr-Jun,26000,26000,4200,16,8500,7500,29
359,Arkansas,2021,Apr-Jun,12000,12000,1600,13,9000,6000,50
360,California,2021,Apr-Jun,1050000,1060000,64000,6,200000,180000,17
361,Colorado,2021,Apr-Jun,17000,22000,5500,25,4800,1100,5
362,Connecticut,2021,Apr-Jun,3800,4000,60,2,960,400,10
363,Florida,2021,Apr-Jun,300000,300000,33000,11,52000,31000,10
364,Georgia,2021,Apr-Jun,135000,136000,20000,15,25000,18500,14
365,Hawaii,2021,Apr-Jun,21000,21000,630,3,460,1200,6
366,Idaho,2021,Apr-Jun,86000,120000,19500,16,40000,19000,16
368,Illinois,2021,Apr-Jun,13000,13000,1100,8,3700,2100,16
369,Indiana,2021,Apr-Jun,12000,12500,560,4,4000,1000,8
370,Iowa,2021,Apr-Jun,26000,27000,2200,8,10500,3900,14
371,Kansas,2021,Apr-Jun,7500,8000,870,11,4900,1600,20
372,Kentucky,2021,Apr-Jun,10000,11500,270,2,2100,4500,39
373,Louisiana,2021,Apr-Jun,29000,30000,2300,8,8000,2000,7
374,Maine,2021,Apr-Jun,2000,18000,1100,6,430,260,1
375,Maryland,2021,Apr-Jun,6500,7500,320,4,2600,690,9
376,Massachusetts,2021,Apr-Jun,4000,10000,810,8,1400,310,3
377,Michigan,2021,Apr-Jun,75000,97000,3500,4,10000,8000,8
379,Minnesota,2021,Apr-Jun,69000,98000,5500,6,28000,4000,4
380,Mississippi,2021,Apr-Jun,34000,35000,4800,14,9000,8000,23
381,Missouri,2021,Apr-Jun,4800,4800,670,14,2000,670,14
382,Montana,2021,Apr-Jun,38000,116000,3100,3,13500,15500,13
383,Nebraska,2021,Apr-Jun,18500,37000,1800,5,8500,810,2
384,New Jersey,2021,Apr-Jun,14500,19500,410,2,1400,140,1
385,New Mexico,2021,Apr-Jun,5500,5500,540,10,80,2300,42
386,New York,2021,Apr-Jun,29000,50000,3000,6,14500,4100,8
387,North Carolina,2021,Apr-Jun,22000,23000,1700,7,6000,3300,14
388,North Dakota,2021,Apr-Jun,42000,395000,4400,1,4800,3500,1
390,Ohio,2021,Apr-Jun,13000,13500,820,6,6500,2400,18
391,Oklahoma,2021,Apr-Jun,17000,17000,3600,21,4200,190,1
392,Oregon,2021,Apr-Jun,80000,84000,3300,4,25000,19500,23
393,Pennsylvania,2021,Apr-Jun,20000,23000,2100,9,7000,2800,12
394,South Carolina,2021,Apr-Jun,18500,19500,1800,9,4100,5000,26
395,South Dakota,2021,Apr-Jun,16500,198000,6500,3,39000,19000,10
396,Tennessee,2021,Apr-Jun,12000,12000,720,6,4800,3400,28
397,Texas,2021,Apr-Jun,385000,425000,34000,8,65000,72000,17
398,Utah,2021,Apr-Jun,20000,31000,3500,11,8500,3900,13
399,Vermont,2021,Apr-Jun,7000,7000,40,1,770,570,8
401,Virginia,2021,Apr-Jun,8000,8500,530,6,3100,820,10
402,Washington,2021,Apr-Jun,66000,122000,2900,2,9500,2600,2
403,West Virginia,2021,Apr-Jun,8000,9000,170,2,1900,390,4
404,Wisconsin,2021,Apr-Jun,42000,57000,2200,4,9000,7500,13
405,Wyoming,2021,Apr-Jun,13500,30000,3400,11,7500,4900,16
407,Other States 5/,2021,Apr-Jun,5970,8410,140,2,2890,3100,37
409,United States,2021,Apr-Jun,2855070,(X),255860,9,677690,480380,17
422,State,2020,Jan-Mar,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
425,Alabama,2020,Jan-Mar,12.4,3.4,-,0.1,1.7,4.3,
426,Arizona,2020,Jan-Mar,31.7,(Z),(Z),-,10.1,9.0,
427,Arkansas,2020,Jan-Mar,31.7,22.7,(Z),2.6,(Z),11.2,
